Sample	Sample	Fragments_Used_for_Bidirectional_Calc[#]	Bidirectional_ANI[%]	Bidirectional_StDev[%]	Fragments_Used_for_Unidirectional_Calc[#]	Unidirectional_ANI[%]	Unidirectional_StDev[%]	Fragments_Used_for_Unidirectional_Calc[#]	Unidirectional_ANI[%]	Unidirectional_StDev[%]
Leptospira_weilii_GCF_006874745	Leptospira_haakeii_GCF_002812045	1373.5	71.425	4.092	4499	71.215	4.111	4453	71.326	4.349
Leptospira_wolbachii_GCF_000332515	Leptospira_haakeii_GCF_002812045	576.5	70.209	4.113	1998	69.987	3.990	1998	70.352	4.465
Leptospira_yanagawae_GCF_000332475	Leptospira_haakeii_GCF_002812045	547.5	70.137	3.979	1937	69.904	4.012	1899	70.142	4.267
Leptospira_kirschneri_GCF_000243695	Leptospira_haakeii_GCF_002812045	1479.5	71.649	4.164	4908	71.430	4.192	4785	71.535	4.164
Leptospira_koniambonensis_GCF_004769555	Leptospira_haakeii_GCF_002812045	8000.5	89.111	3.588	18210	88.832	3.986	18124	88.901	3.830
Leptospira_noumeaensis_GCF_004770765	Leptospira_haakeii_GCF_002812045	614	70.389	4.260	2087	70.110	4.074	2043	70.179	4.049
Leptospira_venezuelensis_GCF_002150035	Leptospira_haakeii_GCF_002812045	7843	87.936	3.774	17987	87.649	4.175	17984	87.671	4.105
Leptospira_alexanderi_GCF_000243815	Leptospira_haakeii_GCF_002812045	1402	71.470	4.005	4540	71.300	4.095	4467	71.339	4.090
Leptospira_stimsonii_GCF_003545885	Leptospira_haakeii_GCF_002812045	1561	71.432	4.189	5230	71.231	4.123	5143	71.291	4.118
Leptospira_hartskeerlii_GCF_002811475	Leptospira_haakeii_GCF_002812045	7801.5	88.235	3.554	17786	87.958	3.972	17640	88.066	3.732
Leptospira_langatensis_GCF_004770615	Leptospira_haakeii_GCF_002812045	5174	76.770	4.747	14334	76.287	4.825	14276	76.322	4.800
Leptospira_johnsonii_GCF_003112675	Leptospira_haakeii_GCF_002812045	7764	87.494	3.416	17878	87.256	3.757	17780	87.320	3.627
Leptospira_andrefontaineae_GCF_004770105	Leptospira_haakeii_GCF_002812045	8068	89.618	3.534	18125	89.344	3.961	18078	89.407	3.794
Leptospira_fletcheri_GCF_004769195	Leptospira_haakeii_GCF_002812045	2908	72.493	4.259	9009	72.228	4.277	9070	72.209	4.276
Leptospira_perdikensis_GCF_004769575	Leptospira_haakeii_GCF_002812045	599	70.551	4.394	2098	70.166	4.185	2047	70.323	4.185
Leptospira_wolffii_GCF_000306115	Leptospira_haakeii_GCF_002812045	4661	75.245	4.798	13538	74.788	4.792	13468	74.803	4.788
Leptospira_inadai_GCF_000243675	Leptospira_haakeii_GCF_002812045	3153.5	72.714	4.306	9687	72.324	4.253	9744	72.370	4.401
Leptospira_barantonii_GCF_002811925	Leptospira_haakeii_GCF_002812045	1631	71.531	4.217	5462	71.290	4.194	5332	71.369	4.179
Leptospira_montravelensis_GCF_004769455	Leptospira_haakeii_GCF_002812045	605.5	70.358	4.134	2057	70.198	4.038	2042	70.255	4.141
Leptospira_broomii_GCF_000243715	Leptospira_haakeii_GCF_002812045	3231.5	72.672	4.240	9891	72.355	4.226	9936	72.379	4.249
Leptospira_levettii_GCF_002812085	Leptospira_haakeii_GCF_002812045	601.5	70.074	4.033	2036	69.903	3.912	2004	69.971	3.846
Leptospira_borgpetersenii_GCF_003046425	Leptospira_haakeii_GCF_002812045	1384.5	71.462	4.121	4472	71.284	4.083	4407	71.289	4.067
Leptospira_kemamanensis_GCF_004769665	Leptospira_haakeii_GCF_002812045	577	70.255	3.990	1954	69.957	3.989	1917	70.023	3.926
Leptospira_bandrabouensis_GCF_004770905	Leptospira_haakeii_GCF_002812045	615	70.349	4.228	2061	70.134	4.048	2043	70.317	4.224
Leptospira_saintgironsiae_GCF_002811765	Leptospira_mayottensis_GCF_000306675	1352.5	71.523	4.162	4479	71.428	4.328	4449	71.336	4.072
Leptospira_johnsonii_GCF_003112675	Leptospira_mayottensis_GCF_000306675	1383	71.656	4.175	4483	71.564	4.389	4409	71.473	4.118
Leptospira_mgodei_GCF_040833985	Leptospira_mayottensis_GCF_000306675	523.5	70.177	3.902	1843	70.129	4.223	1820	70.125	4.213
Leptospira_abararensis_GCF_016918735	Leptospira_mayottensis_GCF_000306675	534.5	70.113	3.884	1797	70.113	4.315	1770	69.892	3.879
Leptospira_bourretii_GCF_004769285	Leptospira_mayottensis_GCF_000306675	542	70.091	4.011	1814	70.170	4.273	1794	70.050	4.047
Leptospira_alstonii_GCF_000347175	Leptospira_haakeii_GCF_002812045	1355.5	71.469	4.189	4633	71.208	4.155	4602	71.425	4.533
Leptospira_ilyithenensis_GCF_004771005	Leptospira_haakeii_GCF_002812045	682	70.255	3.842	2357	70.175	3.852	2309	70.201	3.840
Leptospira_ellisii_GCF_002811955	Leptospira_mayottensis_GCF_000306675	3438	77.036	5.095	9999	76.648	5.132	9823	76.536	5.054
Leptospira_noguchii_GCF_000306255	Leptospira_haakeii_GCF_002812045	1468.5	71.713	4.249	4860	71.472	4.153	4787	71.597	4.303
Leptospira_vanthielii_GCF_000332455	Leptospira_mayottensis_GCF_000306675	546	69.997	4.009	1846	69.953	4.246	1889	70.096	4.462
Leptospira_interrogans_GCF_000343165	Leptospira_haakeii_GCF_002812045	1485.5	71.750	4.177	4848	71.409	4.146	4749	71.478	4.109
Leptospira_kanakyensis_GCF_004769235	Leptospira_haakeii_GCF_002812045	621	70.378	4.102	2113	70.181	4.111	2054	70.274	4.073
Leptospira_gorisiae_GCF_040833975	Leptospira_mayottensis_GCF_000306675	4023.5	78.386	4.507	11320	78.097	4.763	11310	78.137	4.777
Leptospira_ainazelensis_GCF_016918785	Leptospira_haakeii_GCF_002812045	1571	71.475	4.103	5243	71.286	4.111	5144	71.308	4.064
Leptospira_terpstrae_GCF_000332495	Leptospira_mayottensis_GCF_000306675	522.5	70.102	4.036	1785	70.076	4.276	1794	70.147	4.408
Leptospira_ognonensis_GCF_004770745	Leptospira_mayottensis_GCF_000306675	524	69.590	3.826	1789	69.635	4.172	1785	69.384	3.674
Leptospira_sarikeiensis_GCF_004769615	Leptospira_mayottensis_GCF_000306675	1344	71.787	4.296	4482	71.617	4.434	4450	71.524	4.189
Leptospira_gomenensis_GCF_004770155	Leptospira_mayottensis_GCF_000306675	3637	77.020	5.066	10544	76.632	5.155	10572	76.534	5.070
Leptospira_ellinghausenii_GCF_003114815	Leptospira_mayottensis_GCF_000306675	539	70.112	4.007	1762	69.982	4.298	1738	69.774	3.842
Leptospira_brenneri_GCF_002812125	Leptospira_mayottensis_GCF_000306675	512.5	70.233	4.070	1838	70.143	4.274	1822	69.958	3.875
Leptospira_congkakensis_GCF_004770265	Leptospira_mayottensis_GCF_000306675	535	70.137	4.124	1860	70.091	4.327	1823	69.861	3.855
Leptospira_milleri_GCF_040833955	Leptospira_mayottensis_GCF_000306675	521.5	70.073	4.241	1789	70.028	4.330	1749	70.055	4.383
Leptospira_kobayashii_GCF_003114835	Leptospira_mayottensis_GCF_000306675	638.5	70.302	4.057	2210	70.342	4.281	2163	70.245	3.945
Leptospira_perolatii_GCF_002811875	Leptospira_mayottensis_GCF_000306675	1339	71.445	4.048	4345	71.256	4.261	4301	71.175	3.968
Leptospira_meyeri_GCF_004368965	Leptospira_mayottensis_GCF_000306675	538	70.071	4.032	1820	70.082	4.320	1782	69.997	4.029
Leptospira_jelokensis_GCF_004769775	Leptospira_mayottensis_GCF_000306675	509.5	69.986	4.058	1733	69.935	4.298	1705	69.929	4.177
Leptospira_harrisiae_GCF_002811945	Leptospira_mayottensis_GCF_000306675	530	70.040	4.098	1811	70.009	4.321	1772	69.945	4.058
Leptospira_biflexa_GCF_000017685	Leptospira_mayottensis_GCF_000306675	532.5	70.027	4.173	1765	69.907	4.319	1748	69.905	4.321
Leptospira_cinconiae_GCF_040833995	Leptospira_mayottensis_GCF_000306675	1377.5	71.834	4.412	4426	71.648	4.386	4414	71.620	4.406
Leptospira_ainlahdjerensis_GCF_016919175	Leptospira_mayottensis_GCF_000306675	4120	78.339	4.659	11687	77.798	4.885	11613	77.869	4.754
Leptospira_yasudae_GCF_003545925	Leptospira_mayottensis_GCF_000306675	4364	80.269	4.615	11811	79.909	4.748	11819	79.864	4.689
Leptospira_ryugenii_GCF_003114855	Leptospira_mayottensis_GCF_000306675	506	69.382	3.820	1714	69.505	4.211	1649	69.326	3.684
Leptospira_licerasiae_GCF_000244755	Leptospira_mayottensis_GCF_000306675	1347	71.714	4.221	4489	71.549	4.402	4472	71.457	4.158
Leptospira_mtsangambouensis_GCF_004770475	Leptospira_mayottensis_GCF_000306675	520.5	70.096	3.959	1831	70.085	4.276	1779	69.998	4.009
Leptospira_idonii_GCF_004770995	Leptospira_mayottensis_GCF_000306675	693.5	70.856	4.174	2343	70.837	4.266	2337	70.658	4.038
Leptospira_semungkisensis_GCF_004770055	Leptospira_mayottensis_GCF_000306675	1346.5	71.541	4.177	4350	71.385	4.333	4341	71.264	4.054
Leptospira_hartskeerlii_GCF_002811475	Leptospira_mayottensis_GCF_000306675	1342.5	71.588	4.184	4501	71.467	4.336	4458	71.389	4.085
Leptospira_venezuelensis_GCF_002150035	Leptospira_mayottensis_GCF_000306675	1362.5	71.447	4.184	4422	71.419	4.356	4429	71.296	4.125
Leptospira_neocaledonica_GCF_002812205	Leptospira_mayottensis_GCF_000306675	1350.5	71.705	4.226	4502	71.571	4.342	4508	71.457	4.108
Leptospira_chreensis_GCF_016919165	Leptospira_mayottensis_GCF_000306675	529.5	70.057	4.087	1823	70.083	4.325	1954	69.777	3.837
Leptospira_iowaensis_GCF_040833965	Leptospira_mayottensis_GCF_000306675	501	70.037	4.227	1747	70.004	4.332	1736	69.993	4.356
Leptospira_kirschneri_GCF_000243695	Leptospira_mayottensis_GCF_000306675	4513	81.404	3.722	12140	81.098	4.025	12087	81.047	3.991
Leptospira_adleri_GCF_002811985	Leptospira_mayottensis_GCF_000306675	4016	78.375	4.672	11312	77.991	4.839	11164	77.950	4.752
Leptospira_tipperaryensis_GCF_001729245	Leptospira_mayottensis_GCF_000306675	4068	78.731	4.546	11469	78.276	4.614	11444	78.296	4.612
Leptospira_kmetyi_GCF_000243735	Leptospira_mayottensis_GCF_000306675	4479.5	81.105	4.314	11880	80.651	4.567	11869	80.639	4.516
Leptospira_sanjuanensis_GCF_022267325	Leptospira_mayottensis_GCF_000306675	4325.5	80.165	4.661	11962	79.675	4.828	11763	79.811	4.732
Leptospira_bouyouniensis_GCF_004770445	Leptospira_mayottensis_GCF_000306675	529	70.008	4.066	1795	69.914	4.263	1752	69.817	4.023
Leptospira_fainei_GCF_000306235	Leptospira_mayottensis_GCF_000306675	1334.5	71.405	4.106	4381	71.253	4.274	4362	71.167	4.017
Leptospira_selangorensis_GCF_004769405	Leptospira_mayottensis_GCF_000306675	1355.5	71.738	4.234	4515	71.577	4.346	4508	71.443	4.102
Leptospira_weilii_GCF_006874745	Leptospira_mayottensis_GCF_000306675	6186.5	91.784	3.439	15270	91.135	4.208	15113	91.219	4.149
Leptospira_dzoumogneensis_GCF_004770895	Leptospira_mayottensis_GCF_000306675	1340.5	71.785	4.228	4457	71.620	4.406	4443	71.512	4.140
Leptospira_santarosai_GCF_000313175	Leptospira_mayottensis_GCF_000306675	5265	87.991	3.447	13710	87.337	4.219	13265	87.645	3.838
Leptospira_andrefontaineae_GCF_004770105	Leptospira_mayottensis_GCF_000306675	1352.5	71.624	4.188	4524	71.440	4.354	4521	71.332	4.093
Leptospira_wolbachii_GCF_000332515	Leptospira_mayottensis_GCF_000306675	531	70.132	4.312	1811	70.048	4.274	1818	70.198	4.484
Leptospira_langatensis_GCF_004770615	Leptospira_mayottensis_GCF_000306675	1312	71.419	4.264	4251	71.306	4.429	4233	71.228	4.162
Leptospira_koniambonensis_GCF_004769555	Leptospira_mayottensis_GCF_000306675	1370	71.520	4.243	4485	71.393	4.335	4469	71.285	4.092
Leptospira_yanagawae_GCF_000332475	Leptospira_mayottensis_GCF_000306675	499	69.986	4.114	1724	69.952	4.350	1698	69.896	4.243
Leptospira_fletcheri_GCF_004769195	Leptospira_mayottensis_GCF_000306675	1288.5	71.501	4.201	4182	71.368	4.372	4152	71.247	4.082
Leptospira_noumeaensis_GCF_004770765	Leptospira_mayottensis_GCF_000306675	558	70.011	3.958	1843	70.039	4.286	1819	69.834	3.864
Leptospira_bandrabouensis_GCF_004770905	Leptospira_mayottensis_GCF_000306675	537	70.039	4.107	1849	70.069	4.271	1820	69.988	4.155
Leptospira_ilyithenensis_GCF_004771005	Leptospira_mayottensis_GCF_000306675	623.5	70.344	3.923	2132	70.372	4.182	2093	70.209	3.840
Leptospira_barantonii_GCF_002811925	Leptospira_mayottensis_GCF_000306675	4470.5	80.923	4.316	11921	80.598	4.476	11893	80.564	4.394
Leptospira_perdikensis_GCF_004769575	Leptospira_mayottensis_GCF_000306675	543.5	70.021	4.039	1847	70.100	4.306	1820	69.900	3.937
Leptospira_montravelensis_GCF_004769455	Leptospira_mayottensis_GCF_000306675	541	70.120	4.116	1834	70.058	4.291	1818	69.861	3.970
Leptospira_wolffii_GCF_000306115	Leptospira_mayottensis_GCF_000306675	1332.5	71.732	4.319	4369	71.558	4.460	4320	71.498	4.240
Leptospira_broomii_GCF_000243715	Leptospira_mayottensis_GCF_000306675	1332.5	71.397	4.021	4358	71.260	4.235	4366	71.150	4.022
Leptospira_stimsonii_GCF_003545885	Leptospira_mayottensis_GCF_000306675	4147	78.355	4.555	11291	77.979	4.716	11232	77.938	4.640
Leptospira_alexanderi_GCF_000243815	Leptospira_mayottensis_GCF_000306675	6077.5	92.946	3.362	14895	92.260	4.302	14595	92.437	4.127
Leptospira_inadai_GCF_000243675	Leptospira_mayottensis_GCF_000306675	1341.5	71.352	4.056	4356	71.242	4.198	4359	71.266	4.248
Leptospira_levettii_GCF_002812085	Leptospira_mayottensis_GCF_000306675	526	69.915	3.763	1759	69.883	4.120	1738	69.715	3.695
Leptospira_interrogans_GCF_000343165	Leptospira_mayottensis_GCF_000306675	4479	81.106	3.744	12272	80.878	3.961	11989	80.755	3.938
Leptospira_alstonii_GCF_000347175	Leptospira_mayottensis_GCF_000306675	4944.5	83.908	3.840	13315	83.524	4.221	12915	83.564	4.266
Leptospira_borgpetersenii_GCF_003046425	Leptospira_mayottensis_GCF_000306675	6064	92.010	2.711	14844	91.555	3.398	14415	91.756	3.039
Leptospira_noguchii_GCF_000306255	Leptospira_mayottensis_GCF_000306675	4540.5	81.092	3.705	12466	80.774	3.984	12295	80.799	4.043
Leptospira_kemamanensis_GCF_004769665	Leptospira_mayottensis_GCF_000306675	511.5	70.047	4.044	1740	70.079	4.358	1724	69.834	3.837
Leptospira_ainazelensis_GCF_016918785	Leptospira_mayottensis_GCF_000306675	4147	78.529	4.513	11393	78.120	4.676	11336	78.092	4.598
Leptospira_kanakyensis_GCF_004769235	Leptospira_mayottensis_GCF_000306675	530	70.065	4.071	1824	70.088	4.306	1790	69.897	3.880
Leptospira_gorisiae_GCF_040833975	Leptospira_bourretii_GCF_004769285	576.5	70.032	3.978	1922	69.918	3.969	1931	70.097	4.227
Leptospira_johnsonii_GCF_003112675	Leptospira_bourretii_GCF_004769285	619	70.132	4.136	2044	70.085	4.128	2056	70.031	4.015
Leptospira_ellisii_GCF_002811955	Leptospira_bourretii_GCF_004769285	447	69.460	4.033	1543	69.431	4.106	1541	69.321	3.851
Leptospira_gomenensis_GCF_004770155	Leptospira_bourretii_GCF_004769285	480	69.580	3.844	1692	69.702	4.137	1685	69.613	3.913
Leptospira_mgodei_GCF_040833985	Leptospira_bourretii_GCF_004769285	6778	82.682	4.750	16824	82.388	4.918	16833	82.400	4.943
Leptospira_saintgironsiae_GCF_002811765	Leptospira_bourretii_GCF_004769285	603.5	70.454	4.187	2097	70.417	4.156	2144	70.296	4.034
Leptospira_ryugenii_GCF_003114855	Leptospira_bourretii_GCF_004769285	2279	72.689	4.832	6986	72.332	4.735	6987	72.306	4.644
Leptospira_abararensis_GCF_016918735	Leptospira_bourretii_GCF_004769285	7201	82.706	4.707	17262	82.385	4.899	17215	82.391	4.863
Leptospira_milleri_GCF_040833955	Leptospira_bourretii_GCF_004769285	5336.5	78.777	5.447	14085	78.185	5.546	14106	78.214	5.597
Leptospira_brenneri_GCF_002812125	Leptospira_bourretii_GCF_004769285	6553	82.714	5.115	16359	82.323	5.257	16348	82.317	5.233
Leptospira_ellinghausenii_GCF_003114815	Leptospira_bourretii_GCF_004769285	5677.5	79.169	5.832	15004	78.608	5.911	15018	78.580	5.898
Leptospira_sarikeiensis_GCF_004769615	Leptospira_bourretii_GCF_004769285	578	70.225	4.111	1980	70.096	4.093	1987	69.984	3.969
Leptospira_ainlahdjerensis_GCF_016919175	Leptospira_bourretii_GCF_004769285	592	70.004	3.900	2016	69.972	4.085	2037	69.894	3.933
Leptospira_vanthielii_GCF_000332455	Leptospira_bourretii_GCF_004769285	6794	82.874	4.738	16765	82.495	4.932	16788	82.540	4.956
Leptospira_ognonensis_GCF_004770745	Leptospira_bourretii_GCF_004769285	2420.5	72.773	4.651	7629	72.462	4.562	7661	72.405	4.494
Leptospira_perolatii_GCF_002811875	Leptospira_bourretii_GCF_004769285	511	69.873	4.021	1780	69.873	3.998	1781	69.774	3.832
Leptospira_congkakensis_GCF_004770265	Leptospira_bourretii_GCF_004769285	6901.5	84.006	5.355	16619	83.647	5.499	16656	83.636	5.476
Leptospira_terpstrae_GCF_000332495	Leptospira_bourretii_GCF_004769285	7195.5	82.755	4.805	17273	82.398	4.999	17302	82.428	5.021
Leptospira_kobayashii_GCF_003114835	Leptospira_bourretii_GCF_004769285	2675	73.262	4.727	8147	72.876	4.679	8163	72.862	4.614
Leptospira_meyeri_GCF_004368965	Leptospira_bourretii_GCF_004769285	7931.5	89.547	3.720	18030	89.254	4.096	18049	89.244	4.121
Leptospira_jelokensis_GCF_004769775	Leptospira_bourretii_GCF_004769285	5470	78.773	5.632	14545	78.261	5.661	14538	78.284	5.669
Leptospira_yasudae_GCF_003545925	Leptospira_bourretii_GCF_004769285	541	69.975	4.046	1806	69.824	4.039	1805	69.747	3.868
Leptospira_idonii_GCF_004770995	Leptospira_bourretii_GCF_004769285	2612	73.428	4.722	8212	72.997	4.705	8231	72.972	4.671
Leptospira_sanjuanensis_GCF_022267325	Leptospira_bourretii_GCF_004769285	539	69.893	4.096	1818	69.767	4.043	1830	69.918	4.310
Leptospira_kmetyi_GCF_000243735	Leptospira_bourretii_GCF_004769285	533	69.883	3.951	1858	69.830	3.990	1873	69.755	3.920
Leptospira_cinconiae_GCF_040833995	Leptospira_bourretii_GCF_004769285	575	70.094	4.058	1998	69.977	4.078	2031	70.064	4.313
Leptospira_mtsangambouensis_GCF_004770475	Leptospira_bourretii_GCF_004769285	8449.5	94.988	2.752	18101	94.779	3.184	18116	94.778	3.184
Leptospira_licerasiae_GCF_000244755	Leptospira_bourretii_GCF_004769285	574	70.166	3.986	1977	70.135	4.085	2042	70.050	3.983
Leptospira_biflexa_GCF_000017685	Leptospira_bourretii_GCF_004769285	5495.5	78.878	5.440	14873	78.359	5.554	14918	78.364	5.591
Leptospira_iowaensis_GCF_040833965	Leptospira_bourretii_GCF_004769285	5484.5	78.851	5.568	15008	78.479	5.689	15070	78.502	5.740
Leptospira_tipperaryensis_GCF_001729245	Leptospira_bourretii_GCF_004769285	604.5	70.223	4.211	2047	70.095	4.021	2081	70.172	4.270
Leptospira_neocaledonica_GCF_002812205	Leptospira_bourretii_GCF_004769285	598.5	70.258	4.040	2043	70.253	4.090	2071	70.130	3.974
Leptospira_selangorensis_GCF_004769405	Leptospira_bourretii_GCF_004769285	607	70.365	4.192	2104	70.270	4.151	2150	70.162	4.032
Leptospira_chreensis_GCF_016919165	Leptospira_bourretii_GCF_004769285	7050.5	82.710	4.916	16658	82.394	5.114	18097	82.283	5.069
Leptospira_kirschneri_GCF_000243695	Leptospira_bourretii_GCF_004769285	557.5	70.083	3.815	1935	70.181	3.985	1935	70.142	3.936
Leptospira_adleri_GCF_002811985	Leptospira_bourretii_GCF_004769285	558.5	69.825	3.980	1916	69.841	4.064	1925	69.713	3.909
Leptospira_bouyouniensis_GCF_004770445	Leptospira_bourretii_GCF_004769285	5437.5	78.950	5.509	15003	78.345	5.575	15008	78.331	5.582
Leptospira_fainei_GCF_000306235	Leptospira_bourretii_GCF_004769285	519	69.568	3.845	1723	69.503	3.949	1747	69.452	3.883
Leptospira_harrisiae_GCF_002811945	Leptospira_bourretii_GCF_004769285	7724	86.663	4.297	17647	86.518	4.440	17628	86.516	4.440
Leptospira_dzoumogneensis_GCF_004770895	Leptospira_bourretii_GCF_004769285	608.5	70.321	4.123	2025	70.174	4.155	2051	70.088	4.067
Leptospira_semungkisensis_GCF_004770055	Leptospira_bourretii_GCF_004769285	541.5	69.920	3.842	1825	69.991	4.046	1821	69.913	3.895
Leptospira_langatensis_GCF_004770615	Leptospira_bourretii_GCF_004769285	492	69.987	4.105	1716	69.905	4.081	1720	69.834	3.970
Leptospira_andrefontaineae_GCF_004770105	Leptospira_bourretii_GCF_004769285	607.5	70.386	4.068	2106	70.437	4.265	2129	70.325	4.141
Leptospira_venezuelensis_GCF_002150035	Leptospira_bourretii_GCF_004769285	621.5	70.383	4.088	2086	70.312	4.143	2161	70.216	4.031
