-	Leptospira_tipperaryensis_GCF_001729245	Leptospira_saintgironsiae_GCF_002811765	Leptospira_johnsonii_GCF_003112675	Leptospira_santarosai_GCF_000313175	Leptospira_levettii_GCF_002812085	Leptospira_weilii_GCF_006874745	Leptospira_bouyouniensis_GCF_004770445	Leptospira_inadai_GCF_000243675	Leptospira_gomenensis_GCF_004770155	Leptospira_mtsangambouensis_GCF_004770475	Leptospira_bourretii_GCF_004769285	Leptospira_ellisii_GCF_002811955	Leptospira_langatensis_GCF_004770615	Leptospira_licerasiae_GCF_000244755	Leptospira_ryugenii_GCF_003114855	Leptospira_fletcheri_GCF_004769195	Leptospira_gorisiae_GCF_040833975	Leptospira_brenneri_GCF_002812125	Leptospira_yanagawae_GCF_000332475	Leptospira_selangorensis_GCF_004769405	Leptospira_kmetyi_GCF_000243735	Leptospira_bandrabouensis_GCF_004770905	Leptospira_haakeii_GCF_002812045	Leptospira_noguchii_GCF_000306255	Leptospira_interrogans_GCF_000343165	Leptospira_cinconiae_GCF_040833995	Leptospira_alexanderi_GCF_000243815	Leptospira_ilyithenensis_GCF_004771005	Leptospira_alstonii_GCF_000347175	Leptospira_broomii_GCF_000243715	Leptospira_chreensis_GCF_016919165	Leptospira_perolatii_GCF_002811875	Leptospira_idonii_GCF_004770995	Leptospira_meyeri_GCF_004368965	Leptospira_ellinghausenii_GCF_003114815	Leptospira_kirschneri_GCF_000243695	Leptospira_fainei_GCF_000306235	Leptospira_neocaledonica_GCF_002812205	Leptospira_yasudae_GCF_003545925	Leptospira_venezuelensis_GCF_002150035	Leptospira_abararensis_GCF_016918735	Leptospira_congkakensis_GCF_004770265	Leptospira_ognonensis_GCF_004770745	Leptospira_wolbachii_GCF_000332515	Leptospira_mayottensis_GCF_000306675	Leptospira_noumeaensis_GCF_004770765	Leptospira_stimsonii_GCF_003545885	Leptospira_borgpetersenii_GCF_003046425	Leptospira_perdikensis_GCF_004769575	Leptospira_ainazelensis_GCF_016918785	Leptospira_kemamanensis_GCF_004769665	Leptospira_jelokensis_GCF_004769775	Leptospira_milleri_GCF_040833955	Leptospira_kobayashii_GCF_003114835	Leptospira_koniambonensis_GCF_004769555	Leptospira_iowaensis_GCF_040833965	Leptospira_andrefontaineae_GCF_004770105	Leptospira_adleri_GCF_002811985	Leptospira_montravelensis_GCF_004769455	Leptospira_ainlahdjerensis_GCF_016919175	Leptospira_mgodei_GCF_040833985	Leptospira_biflexa_GCF_000017685	Leptospira_semungkisensis_GCF_004770055	Leptospira_hartskeerlii_GCF_002811475	Leptospira_sarikeiensis_GCF_004769615	Leptospira_terpstrae_GCF_000332495	Leptospira_kanakyensis_GCF_004769235	Leptospira_wolffii_GCF_000306115	Leptospira_sanjuanensis_GCF_022267325	Leptospira_harrisiae_GCF_002811945	Leptospira_vanthielii_GCF_000332455	Leptospira_barantonii_GCF_002811925	Leptospira_dzoumogneensis_GCF_004770895
Leptospira_bourretii_GCF_004769285	70.223	70.454	70.132	70.006	78.896	69.826	78.950	69.405	69.580	94.988	100	69.460	69.987	70.166	72.689	69.392	70.032	82.714	78.916	70.365	69.883	85.327	70.371	70.264	70.343	70.094	70.055	73.214	70.146	69.746	82.710	69.873	73.428	89.547	79.169	70.083	69.568	70.258	69.975	70.383	82.706	84.006	72.773	82.797	70.091	84.024	69.932	69.998	83.037	69.970	79.209	78.773	78.777	73.262	70.357	78.851	70.386	69.825	84.293	70.004	82.682	78.878	69.920	70.334	70.225	82.755	84.327	69.677	69.893	86.663	82.874	69.835	70.321
Leptospira_ellisii_GCF_002811955	77.575	71.022	71.392	77.937	69.411	77.562	69.352	71.610	85.906	69.372	69.460	100	71.582	71.482	68.807	72.044	77.746	69.528	69.364	71.262	79.108	69.553	71.099	76.199	76.122	71.594	77.402	70.077	78.625	71.398	69.774	71.241	70.676	69.660	69.342	76.426	71.397	71.314	79.038	70.957	69.617	69.668	69.079	69.703	77.036	69.586	77.587	77.121	69.691	77.744	69.586	69.353	69.706	70.219	71.029	69.438	71.153	78.048	69.633	77.610	69.671	69.645	71.310	71.240	71.478	69.295	69.688	72.160	79.022	69.509	69.820	78.648	71.535
Leptospira_langatensis_GCF_004770615	71.581	76.744	77.079	71.522	69.635	71.607	69.594	72.878	71.578	70.045	69.987	71.582	100	76.871	69.373	73.167	71.494	70.003	69.612	76.866	71.761	69.830	76.770	71.214	71.107	76.934	71.505	70.157	71.545	72.831	69.969	72.371	70.682	69.842	69.824	71.328	72.754	76.994	71.842	76.601	69.850	69.950	69.474	69.838	71.419	70.008	71.514	71.390	69.616	71.635	69.719	69.737	69.770	70.207	76.732	69.761	76.846	71.558	69.720	71.565	69.824	69.792	83.745	76.808	76.947	69.867	69.974	75.993	71.767	70.090	69.869	71.818	77.246
Leptospira_licerasiae_GCF_000244755	71.648	87.360	87.120	71.768	69.789	71.700	70.020	72.967	71.496	70.420	70.166	71.482	76.871	100	69.691	72.911	71.634	70.186	70.018	87.619	71.695	70.197	87.186	71.724	71.692	86.192	71.665	70.486	71.648	72.957	70.324	72.404	70.911	70.294	70.075	71.769	72.878	86.757	71.609	86.962	70.270	70.311	69.653	70.087	71.714	70.235	71.642	71.590	70.177	71.638	70.096	70.092	70.116	70.560	87.171	69.984	87.371	71.649	70.274	71.670	70.208	70.019	76.909	88.240	80.808	70.307	70.195	75.600	71.726	70.213	70.160	71.826	88.018
Leptospira_ryugenii_GCF_003114855	69.516	69.831	69.584	69.105	72.425	69.146	72.730	69.187	69.257	72.394	72.689	68.807	69.373	69.691	100	69.167	69.440	72.420	72.515	69.601	69.114	72.409	69.588	69.669	69.695	69.645	69.277	72.014	69.210	69.337	72.226	69.415	72.151	72.425	72.591	69.627	69.324	69.644	69.161	69.807	72.414	72.565	72.687	72.305	69.382	72.430	69.213	69.293	72.322	69.211	72.557	72.697	72.409	72.091	69.700	72.495	69.809	69.248	72.530	69.311	72.249	72.546	69.512	69.708	69.542	72.402	72.345	69.189	69.219	72.377	72.392	69.249	69.627
Leptospira_fletcheri_GCF_004769195	71.506	72.415	72.894	71.932	69.322	71.763	69.026	75.058	72.019	69.543	69.392	72.044	73.167	72.911	69.167	100	71.701	69.504	69.435	72.777	72.053	69.514	72.493	71.034	71.071	73.130	71.667	70.104	72.014	74.894	69.483	72.372	70.551	69.450	69.337	71.231	74.886	72.707	71.970	72.420	69.508	69.477	69.126	69.628	71.501	69.532	71.572	71.570	69.441	71.779	69.493	69.497	69.337	70.179	72.373	69.480	72.625	71.622	69.276	71.588	69.342	69.616	72.929	72.697	72.954	69.471	69.426	73.791	72.050	69.436	69.461	71.855	72.965
Leptospira_gorisiae_GCF_040833975	80.154	71.450	71.776	78.609	69.853	78.645	69.849	71.599	77.721	70.096	70.032	77.746	71.494	71.634	69.440	71.701	100	70.029	69.837	71.568	79.633	70.089	71.472	77.760	77.830	71.811	78.784	70.589	79.678	71.395	69.940	71.318	70.773	70.002	69.840	78.043	71.440	71.687	79.355	71.344	69.897	69.944	69.473	70.064	78.386	69.928	79.541	78.355	70.050	80.086	70.136	69.862	70.014	70.635	71.392	69.788	71.534	79.726	69.956	79.784	69.906	70.053	71.450	71.635	71.698	69.944	70.067	71.820	79.252	69.907	69.928	79.448	71.786
Leptospira_brenneri_GCF_002812125	70.106	70.494	70.165	69.712	78.770	69.884	78.627	69.498	69.666	82.669	82.714	69.528	70.003	70.186	72.420	69.504	70.029	100	78.527	70.406	69.976	82.207	70.367	70.179	70.238	70.177	69.931	73.055	69.952	69.624	83.268	69.953	73.360	82.597	78.559	70.257	69.564	70.267	69.859	70.412	82.656	84.015	72.730	82.731	70.233	83.764	69.923	69.977	83.383	69.834	78.903	78.475	78.592	73.201	70.407	78.683	70.518	69.751	82.029	70.053	82.688	78.580	70.085	70.223	70.086	82.400	84.088	69.677	69.894	82.529	82.650	69.878	70.367
Leptospira_yanagawae_GCF_000332475	69.866	70.250	70.080	69.821	81.976	69.581	84.284	69.386	69.766	78.781	78.916	69.364	69.612	70.018	72.515	69.435	69.837	78.527	100	70.140	69.625	78.879	70.137	70.002	70.199	70.064	69.625	73.028	69.691	69.280	78.724	69.762	73.154	78.784	81.891	70.104	69.473	70.107	69.728	70.249	78.669	78.821	72.684	78.598	69.986	78.796	69.777	69.729	78.589	69.666	83.605	89.141	81.120	72.908	70.239	81.896	70.256	69.695	78.718	69.761	78.488	82.752	69.825	70.063	70.025	78.656	78.919	69.497	69.795	78.881	78.547	69.745	70.015
Leptospira_selangorensis_GCF_004769405	71.737	90.127	87.881	71.587	69.967	71.578	69.977	72.839	71.326	70.454	70.365	71.262	76.866	87.619	69.601	72.777	71.568	70.406	70.140	100	71.586	70.383	91.989	71.788	71.786	86.620	71.747	70.482	71.645	72.845	70.366	72.482	71.038	70.329	70.338	71.914	72.735	87.953	71.559	88.198	70.348	70.374	69.717	70.289	71.738	70.294	71.566	71.598	70.364	71.551	70.139	70.151	70.197	70.522	89.454	70.231	89.717	71.490	70.389	71.705	70.363	70.179	77.112	88.574	81.331	70.411	70.374	75.415	71.550	70.549	70.326	71.660	89.805
Leptospira_kmetyi_GCF_000243735	79.919	71.408	71.766	81.702	69.715	81.512	69.488	71.815	78.949	69.839	69.883	79.108	71.761	71.695	69.114	72.053	79.633	69.976	69.625	71.586	100	69.841	71.494	79.466	79.394	71.930	81.461	70.381	82.867	71.566	69.916	71.407	70.901	69.810	69.699	79.846	71.580	71.611	83.203	71.452	69.816	69.936	69.328	69.820	81.105	69.723	79.704	81.138	69.746	80.027	69.810	69.648	69.848	70.632	71.476	69.663	71.546	80.223	69.702	79.732	69.812	69.802	71.644	71.631	71.675	69.880	69.779	72.385	83.242	69.856	69.873	90.506	71.784
Leptospira_bandrabouensis_GCF_004770905	70.041	70.382	70.168	69.917	78.974	69.874	78.681	69.622	69.723	85.188	85.327	69.553	69.830	70.197	72.409	69.514	70.089	82.207	78.879	70.383	69.841	100	70.349	70.306	70.374	70.336	69.917	73.166	69.992	69.581	82.443	69.840	73.374	83.796	78.994	70.286	69.382	70.329	69.803	70.290	82.622	83.233	72.752	83.116	70.039	83.468	70.006	69.911	82.607	69.877	79.118	78.647	78.609	73.072	70.440	78.873	70.441	69.745	90.107	69.927	82.642	78.865	70.175	70.417	70.152	82.635	83.397	69.768	69.903	84.335	83.079	69.890	70.336
Leptospira_haakeii_GCF_002812045	71.534	89.580	87.494	71.530	70.074	71.425	70.108	72.714	71.141	70.244	70.371	71.099	76.770	87.186	69.588	72.493	71.472	70.367	70.137	91.989	71.494	70.349	100	71.713	71.750	86.238	71.470	70.255	71.469	72.672	70.404	72.429	70.905	70.382	70.241	71.649	72.705	87.572	71.488	87.936	70.332	70.546	69.723	70.209	71.607	70.389	71.432	71.462	70.551	71.475	70.255	70.089	70.253	70.492	89.111	70.266	89.618	71.432	70.358	71.496	70.405	70.123	77.069	88.235	81.106	70.360	70.378	75.245	71.505	70.470	70.277	71.531	89.269
Leptospira_noguchii_GCF_000306255	77.919	71.835	71.688	80.719	69.983	80.876	70.157	71.152	76.363	70.232	70.264	76.199	71.214	71.724	69.669	71.034	77.760	70.179	70.002	71.788	79.466	70.306	71.713	100	90.251	71.686	81.210	70.489	81.312	71.153	70.139	71.544	70.741	70.243	69.997	90.874	71.164	71.751	78.606	71.730	70.224	70.285	69.576	70.276	81.092	70.362	77.571	80.996	70.305	77.615	70.286	69.907	70.216	70.331	71.826	70.173	71.641	77.499	70.395	77.544	70.327	70.049	71.485	71.673	71.763	70.332	70.307	71.276	78.623	70.207	70.144	79.548	71.883
Leptospira_interrogans_GCF_000343165	77.845	71.852	71.634	80.637	70.130	80.947	70.287	71.144	76.320	70.249	70.343	76.122	71.107	71.692	69.695	71.071	77.830	70.238	70.199	71.786	79.394	70.374	71.750	90.251	100	71.696	81.300	70.373	81.143	71.293	70.397	71.488	70.672	70.180	70.279	91.876	71.258	71.839	78.482	71.733	70.169	70.390	69.638	70.218	81.106	70.254	77.466	81.094	70.379	77.618	70.251	70.006	70.207	70.558	71.737	70.098	71.589	77.420	70.460	77.535	70.255	70.209	71.407	71.679	71.818	70.238	70.400	71.403	78.409	70.332	70.348	79.458	71.725
Leptospira_cinconiae_GCF_040833995	71.823	86.251	87.651	71.969	69.788	71.834	70.017	73.113	71.611	70.205	70.094	71.594	76.934	86.192	69.645	73.130	71.811	70.177	70.064	86.620	71.930	70.336	86.238	71.686	71.696	100	71.856	70.492	71.981	73.026	70.264	72.472	71.024	70.158	70.019	71.837	72.964	87.016	71.885	85.435	70.097	70.258	69.695	70.207	71.834	70.168	71.720	71.730	70.113	71.857	69.943	70.108	70.190	70.555	86.025	70.046	86.488	71.752	70.123	71.795	70.123	70.018	77.004	86.577	80.758	70.225	70.133	75.863	71.931	70.218	70.052	71.978	86.768
Leptospira_alexanderi_GCF_000243815	79.051	71.625	71.684	88.733	69.768	94.622	69.681	71.515	77.432	69.993	70.055	77.402	71.505	71.665	69.277	71.667	78.784	69.931	69.625	71.747	81.461	69.917	71.470	81.210	81.300	71.856	100	70.398	84.793	71.389	69.901	71.487	70.690	70.033	69.752	81.431	71.509	71.775	80.699	71.482	69.920	69.911	69.285	69.992	92.946	69.953	78.729	92.199	69.852	78.895	69.719	69.815	69.978	70.530	71.586	69.745	71.589	78.760	69.762	78.593	69.777	69.691	71.535	71.661	71.854	69.863	70.046	71.785	80.593	69.809	69.820	81.356	71.816
Leptospira_ilyithenensis_GCF_004771005	70.493	70.201	70.409	70.381	72.778	70.356	73.013	70.113	70.262	73.133	73.214	70.077	70.157	70.486	72.014	70.104	70.589	73.055	73.028	70.482	70.381	73.166	70.255	70.489	70.373	70.492	70.398	100	70.501	69.927	73.169	69.877	75.300	73.116	72.964	70.458	70.294	70.405	70.287	70.256	73.162	73.311	72.889	73.166	70.344	73.137	70.343	70.212	73.126	70.518	73.101	73.061	72.963	88.477	70.439	72.922	70.452	70.208	73.095	70.495	73.181	72.980	70.221	70.345	70.318	73.085	73.151	70.238	70.439	73.057	73.184	70.375	70.512
Leptospira_alstonii_GCF_000347175	80.009	71.340	71.789	84.086	69.820	84.484	69.641	71.653	78.545	70.061	70.146	78.625	71.545	71.648	69.210	72.014	79.678	69.952	69.691	71.645	82.867	69.992	71.469	81.312	81.143	71.981	84.793	70.501	100	71.558	69.995	71.492	70.874	69.758	69.706	81.693	71.535	71.671	81.997	71.350	70.071	69.840	69.280	70.064	83.908	70.082	79.551	83.826	69.945	79.993	70.044	69.765	69.962	70.521	71.345	69.951	71.460	79.758	69.878	79.589	69.866	69.715	71.676	71.662	71.746	69.843	69.830	71.985	81.823	69.953	69.992	82.669	71.765
Leptospira_broomii_GCF_000243715	71.450	72.726	72.791	71.569	69.250	71.540	69.435	90.292	71.508	69.490	69.746	71.398	72.831	72.957	69.337	74.894	71.395	69.624	69.280	72.845	71.566	69.581	72.672	71.153	71.293	73.026	71.389	69.927	71.558	100	69.411	72.355	70.247	69.731	69.387	71.371	87.283	72.922	71.502	72.693	69.615	69.653	69.254	69.662	71.397	69.695	71.408	71.356	69.582	71.400	69.433	69.472	69.447	70.281	72.595	69.551	72.795	71.455	69.585	71.420	69.422	69.289	72.837	72.843	72.983	69.426	69.636	73.240	71.486	69.556	69.573	71.445	72.902
Leptospira_chreensis_GCF_016919165	70.061	70.578	70.351	69.941	78.528	69.865	78.506	69.619	69.922	82.711	82.710	69.774	69.969	70.324	72.226	69.483	69.940	83.268	78.724	70.366	69.916	82.443	70.404	70.139	70.397	70.264	69.901	73.169	69.995	69.411	100	69.873	73.435	82.419	78.562	70.232	69.559	70.310	69.935	70.356	85.043	83.798	72.772	85.654	70.057	83.388	70.216	70.014	86.744	70.029	78.938	78.686	78.569	73.189	70.621	78.653	70.456	69.839	82.300	70.174	85.246	78.683	70.033	70.286	70.315	84.373	83.665	69.651	69.941	82.497	85.319	70.016	70.379
Leptospira_perolatii_GCF_002811875	71.467	72.402	72.480	71.523	69.696	71.409	69.769	72.383	71.262	69.829	69.873	71.241	72.371	72.404	69.415	72.372	71.318	69.953	69.762	72.482	71.407	69.840	72.429	71.544	71.488	72.472	71.487	69.877	71.492	72.355	69.873	100	70.433	70.046	69.881	71.616	72.292	72.515	71.470	72.434	69.811	69.846	69.614	69.787	71.445	69.935	71.382	71.545	69.809	71.432	69.646	69.768	69.783	70.229	72.321	69.823	72.509	71.357	69.872	71.470	69.745	69.740	72.383	72.370	72.440	69.880	69.945	72.359	71.468	69.899	69.797	71.481	72.515
Leptospira_idonii_GCF_004770995	70.853	71.036	70.936	70.856	73.022	70.946	72.959	70.310	70.657	73.299	73.428	70.676	70.682	70.911	72.151	70.551	70.773	73.360	73.154	71.038	70.901	73.374	70.905	70.741	70.672	71.024	70.690	75.300	70.874	70.247	73.435	70.433	100	73.325	73.202	70.791	70.354	70.967	70.876	70.811	73.209	73.381	72.893	73.358	70.856	73.318	70.830	70.668	73.287	70.678	73.244	73.091	73.115	75.530	70.981	73.046	71.010	70.796	73.317	70.674	73.194	73.129	70.792	70.862	70.991	73.240	73.383	70.633	70.980	73.218	73.288	70.871	71.263
Leptospira_meyeri_GCF_004368965	70.023	70.458	70.296	69.928	78.620	69.834	78.704	69.462	69.769	89.609	89.547	69.660	69.842	70.294	72.425	69.450	70.002	82.597	78.784	70.329	69.810	83.796	70.382	70.243	70.180	70.158	70.033	73.116	69.758	69.731	82.419	70.046	73.325	100	78.966	70.085	69.572	70.316	69.799	70.340	82.499	84.150	72.811	82.521	70.071	83.596	70.069	69.978	83.166	69.829	78.900	78.674	78.442	72.996	70.587	78.623	70.418	69.888	83.410	69.975	82.466	78.808	69.968	70.278	70.252	82.349	83.809	69.662	69.838	85.875	82.544	69.915	70.219
Leptospira_ellinghausenii_GCF_003114815	69.996	70.371	70.103	69.711	92.088	69.642	82.254	69.316	69.803	78.931	79.169	69.342	69.824	70.075	72.591	69.337	69.840	78.559	81.891	70.338	69.699	78.994	70.241	69.997	70.279	70.019	69.752	72.964	69.706	69.387	78.562	69.881	73.202	78.966	100	69.990	69.554	70.223	69.783	70.209	78.488	78.875	72.733	78.543	70.112	79.019	69.787	69.765	78.668	69.735	83.451	81.713	82.237	72.819	70.415	83.767	70.286	69.617	79.082	69.670	78.604	82.102	69.855	70.063	70.103	78.720	78.941	69.596	69.735	78.860	78.584	69.861	70.137
